# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    3.627254509    2.497496627    2.497496626    1.993780334
    3.647294589    2.490238317    2.490238316    1.990568362
    3.667334669    2.483021916    2.483021915    1.987363328
    3.687374749    2.475847250    2.475847249    1.984165312
    3.707414830    2.468714143    2.468714142    1.980974392
    3.727454910    2.461622416    2.461622415    1.977790646
    3.747494990    2.454571888    2.454571887    1.974614146
    3.767535070    2.447562377    2.447562376    1.971444965
    3.787575150    2.440593695    2.440593695    1.968283174
    3.807615230    2.433665658    2.433665657    1.965128841
    3.827655311    2.426778076    2.426778075    1.961982032
    3.847695391    2.419930758    2.419930757    1.958842812
    3.867735471    2.413123511    2.413123511    1.955711244
    3.887775551    2.406356144    2.406356143    1.952587390
    3.907815631    2.399628460    2.399628459    1.949471307
    3.927855711    2.392940262    2.392940261    1.946363055
    3.947895792    2.386291354    2.386291354    1.943262688
    3.967935872    2.379681537    2.379681536    1.940170261
    3.987975952    2.373110611    2.373110610    1.937085826
    4.008016032    2.366578375    2.366578374    1.934009434
    4.028056112    2.360084627    2.360084627    1.930941136
    4.048096192    2.353629166    2.353629166    1.927880977
    4.068136273    2.347211789    2.347211788    1.924829005
    4.088176353    2.340832290    2.340832289    1.921785264
    4.108216433    2.334490467    2.334490466    1.918749797
    4.128256513    2.328186114    2.328186113    1.915722647
    4.148296593    2.321919026    2.321919025    1.912703852
    4.168336673    2.315688997    2.315688997    1.909693453
    4.188376754    2.309495822    2.309495822    1.906691486
    4.208416834    2.303339294    2.303339293    1.903697987
    4.228456914    2.297219207    2.297219206    1.900712992
    4.248496994    2.291135353    2.291135353    1.897736533
    4.268537074    2.285087527    2.285087527    1.894768643
    4.288577154    2.279075522    2.279075521    1.891809352
    4.308617234    2.273099131    2.273099130    1.888858690
    4.328657315    2.267158146    2.267158145    1.885916686
    4.348697395    2.261252362    2.261252362    1.882983366
    4.368737475    2.255381572    2.255381572    1.880058756
    4.388777555    2.249545570    2.249545570    1.877142881
    4.408817635    2.243744150    2.243744149    1.874235764
    4.428857715    2.237977105    2.237977105    1.871337428
    4.448897796    2.232244231    2.232244230    1.868447895
    4.468937876    2.226545322    2.226545321    1.865567184
    4.488977956    2.220880173    2.220880172    1.862695315
    4.509018036    2.215248580    2.215248579    1.859832305
